0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,7,0,0,9,3,0,12,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,0,0,5,0,3,8,0,2,3,10,0,4,5,1,0,0,0,0
0,0,0,0,0,0,0,0,4,4,0,4,0,0,6,0,0,11,0,0,2,13,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,6,2,0,0,0,0
0,0,0,0,0,0,0,0,10,0,9,6,13,17,9,40,91,89,18,3,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,76,126,123,124,120,125,123,127,21,3,0,5,1,9,0,0,0,0
0,0,0,0,0,0,0,0,5,36,101,127,115,118,127,125,123,122,99,99,30,2,12,0,0,0,0,0
0,0,0,0,0,0,0,0,0,109,127,118,127,123,125,126,125,127,127,121,112,24,0,6,0,0,0,0
0,0,1,1,2,1,1,1,2,32,112,127,126,122,60,17,20,55,126,127,122,60,11,0,0,0,0,0
1,1,0,0,0,0,0,0,8,0,30,50,56,59,18,0,0,0,101,122,127,127,0,9,0,0,0,0
1,1,0,0,0,0,1,1,0,0,2,3,0,7,0,4,4,0,39,122,126,127,2,0,0,0,0,0
0,0,0,1,1,2,2,2,0,9,0,2,0,7,2,2,0,0,18,127,126,125,5,6,0,0,0,0
0,0,1,1,2,1,0,0,2,2,0,10,8,0,0,0,5,7,50,127,126,123,7,7,0,0,0,0
0,1,1,1,0,0,0,0,1,2,0,1,4,4,6,0,0,10,92,123,127,121,7,0,0,0,0,0
2,1,0,0,0,0,1,2,1,0,7,0,26,46,43,3,4,13,122,122,127,104,1,6,0,0,0,0
2,1,0,0,1,4,8,10,48,51,92,95,117,125,125,96,96,114,120,125,104,10,5,0,0,0,0,0
0,2,1,0,15,53,92,123,125,120,127,121,127,127,120,126,127,118,127,127,109,63,6,0,0,0,0,0
3,1,0,0,62,127,115,127,127,125,116,106,119,122,127,127,123,127,125,124,127,121,85,6,0,0,0,0
0,8,0,5,125,127,127,113,102,45,0,28,97,117,125,110,119,71,54,96,127,119,127,88,0,0,0,0
4,0,12,1,122,120,125,127,106,117,114,108,122,124,127,118,40,0,0,10,90,122,118,119,0,0,0,0
0,0,0,3,82,125,127,122,127,119,126,126,127,98,53,29,0,12,3,4,0,26,127,78,0,0,0,0
1,16,3,0,3,16,83,97,86,91,83,22,1,4,2,3,0,0,5,0,2,0,7,1,0,0,0,0
8,0,11,0,7,0,3,0,1,1,5,0,4,0,0,0,6,0,7,1,4,1,0,6,0,0,0,0
1,9,0,5,0,0,16,0,0,7,1,0,6,0,8,0,1,0,0,2,0,1,5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
